D:\articleProj\IMG\center_2022_10_15_19_11_26_112.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_26_112.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_26_112.jpg,0,0,0,6.064291E-06
D:\articleProj\IMG\center_2022_10_15_19_11_26_179.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_26_179.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_26_179.jpg,0,0,0,4.375993E-06
D:\articleProj\IMG\center_2022_10_15_19_11_26_251.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_26_251.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_26_251.jpg,0,0,0,1.65697E-06
D:\articleProj\IMG\center_2022_10_15_19_11_26_323.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_26_323.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_26_323.jpg,0,0,0,1.564342E-06
D:\articleProj\IMG\center_2022_10_15_19_11_26_395.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_26_395.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_26_395.jpg,0,0,0,3.887933E-06
D:\articleProj\IMG\center_2022_10_15_19_11_26_465.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_26_465.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_26_465.jpg,0,0,0,3.660111E-06
D:\articleProj\IMG\center_2022_10_15_19_11_26_535.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_26_535.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_26_535.jpg,0,0,0,5.434036E-07
D:\articleProj\IMG\center_2022_10_15_19_11_26_604.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_26_604.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_26_604.jpg,0,0,0,1.097543E-05
D:\articleProj\IMG\center_2022_10_15_19_11_26_672.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_26_672.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_26_672.jpg,0,0,0,6.269877E-07
D:\articleProj\IMG\center_2022_10_15_19_11_26_743.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_26_743.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_26_743.jpg,0,0,0,4.601675E-06
D:\articleProj\IMG\center_2022_10_15_19_11_26_812.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_26_812.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_26_812.jpg,0,0,0,3.762136E-06
D:\articleProj\IMG\center_2022_10_15_19_11_26_882.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_26_882.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_26_882.jpg,0,0,0,2.740681E-06
D:\articleProj\IMG\center_2022_10_15_19_11_26_950.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_26_950.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_26_950.jpg,0,0.1839855,0,0.07636019
D:\articleProj\IMG\center_2022_10_15_19_11_27_022.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_27_022.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_27_022.jpg,0,0.4177773,0,0.3690876
D:\articleProj\IMG\center_2022_10_15_19_11_27_093.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_27_093.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_27_093.jpg,0,0.6123571,0,0.6826584
D:\articleProj\IMG\center_2022_10_15_19_11_27_165.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_27_165.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_27_165.jpg,0,0.8470743,0,1.39121
D:\articleProj\IMG\center_2022_10_15_19_11_27_236.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_27_236.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_27_236.jpg,0,1,0,2.02589
D:\articleProj\IMG\center_2022_10_15_19_11_27_307.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_27_307.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_27_307.jpg,0,1,0,2.885728
D:\articleProj\IMG\center_2022_10_15_19_11_27_379.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_27_379.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_27_379.jpg,0,1,0,3.568969
D:\articleProj\IMG\center_2022_10_15_19_11_27_450.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_27_450.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_27_450.jpg,-0.2,1,0,4.502085
D:\articleProj\IMG\center_2022_10_15_19_11_27_523.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_27_523.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_27_523.jpg,-0.4306086,1,0,5.409575
D:\articleProj\IMG\center_2022_10_15_19_11_27_595.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_27_595.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_27_595.jpg,-0.2540958,1,0,6.101332
D:\articleProj\IMG\center_2022_10_15_19_11_27_667.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_27_667.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_27_667.jpg,0,1,0,7.015528
D:\articleProj\IMG\center_2022_10_15_19_11_27_739.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_27_739.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_27_739.jpg,0,1,0,7.696517
D:\articleProj\IMG\center_2022_10_15_19_11_27_810.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_27_810.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_27_810.jpg,-0.05,1,0,8.600756
D:\articleProj\IMG\center_2022_10_15_19_11_27_881.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_27_881.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_27_881.jpg,-0.25,1,0,9.48286
D:\articleProj\IMG\center_2022_10_15_19_11_27_953.jpg,D:\articleProj\IMG\left_2022_10_15_19_11_27_953.jpg,D:\articleProj\IMG\right_2022_10_15_19_11_27_953.jpg,-0.3318615,1,0,10.12718
